,NAME,ASIAN,BLACK,HISPANIC,INDIAN,MULTI,WHITE,ADDRESS,BLACKPROP,HISPANICPROP,WHITEPROP,R,G,B,Longitudes,Latitudes
86,FOREST HILLS ELEMENTARY,19,295,472,4,57,150,10112 N. Ola Avenue  Tampa  33612,0.321701199563795,0.514721919302072,0.163576881134133,82.0338058887677,41.7121046892039,131.25408942202802,-82.4635607,28.0418109
87,FOSTER ELEMENTARY,1,352,89,1,13,35, 2014 East Diana Street  Tampa  33610  ,0.739495798319328,0.18697478991596603,0.073529411764706,188.57142857142898,18.75,47.678571428571395,-82.4355452,28.0076098
88,FRANKLIN (BOYS) ELEMENTARY,8,197,133,2,27,124,"3915 21St. Avenue, FL",0.433920704845815,0.29295154185022,0.273127753303965,110.649779735683,69.647577092511,74.7026431718062,-82.41615399999999,27.969464
89,FREEDOM HIGH SCHOOL,102,526,573,4,85,694, 17410 Commerce Park Blvd  Tampa  33647 ,0.29336307863915195,0.31957612939208,0.387060791968767,74.8075850529838,98.7005019520357,81.4919129949805,-82.383692,28.133978
90,FROST ELEMENTARY,20,238,223,1,56,103,3950 Falkenburg Road,0.42198581560283704,0.395390070921986,0.18262411347517699,107.60638297872299,46.56914893617021,100.82446808510599,-82.3579977,27.9126316
91,GAITHER HIGH SCHOOL,85,201,857,7,111,763,16200 North Dale Mabry Highway,0.11037891268533802,0.470620538165843,0.419000549148819,28.1466227347611,106.845140032949,120.00823723228999,-82.50519229999999,28.1011837
92,GIBSONTON ELEMENTARY,3,35,306,1,23,233,7723 Gibsonton Drive  Gibsonton  33534 ,0.060975609756098,0.5331010452961671,0.405923344947735,15.5487804878049,103.510452961672,135.940766550523,-82.3687917,27.8493592
93,GIUNTA MIIDDLE SCHOOL,19,297,363,2,53,159,4202 S Falkenburg Rd Riverview FL 33578,0.362637362637363,0.443223443223443,0.19413919413919398,92.4725274725275,49.5054945054945,113.021978021978,-82.3580042,27.9104776
94,GORRIE ELEMENTARY,21,36,82,4,33,418, 705 W De Leon St.  Tampa  33606 ,0.067164179104478,0.152985074626866,0.779850746268657,17.1268656716418,198.861940298507,39.0111940298507,-82.467907,27.939442
95,GRADY ELEMENTARY,29,41,103,0,29,291,"3910 Morrison Avenue, FL",0.094252873563218,0.23678160919540198,0.668965517241379,24.0344827586207,170.586206896552,60.3793103448276,-82.509394,27.932988
96,GRAHAM ELEMENTARY,0,305,53,0,11,14, 2915 N. Massachusetts Avenue  Tampa  33602,0.8198924731182801,0.14247311827957002,0.037634408602151,209.07258064516103,9.596774193548391,36.3306451612903,-82.4656193,27.9701035
97,GRECO MIDDLE SCHOOL,12,444,152,2,37,96, 6925 East Fowler Ave.  Temple Terrace  33617,0.641618497109827,0.219653179190751,0.138728323699422,163.612716763006,35.3757225433526,56.011560693641606,-82.37552199999999,28.052434
98,HAMMOND ELEMENTARY,25,19,129,0,47,477,8008 N. Mobley Road,0.0304,0.2064,0.7632,7.752000000000001,194.61599999999999,52.632,-82.5741863,28.1132791
99,HENDERSON HAMMOCK CHARTER SCHOOL,21,71,787,4,55,175,10322 Henderson Road,0.06873184898354301,0.7618586640851891,0.169409486931268,17.5266214908035,43.1994191674734,194.27395934172299,-82.5510082,28.0435647
100,HERITAGE ELEMENTARY,57,173,164,0,58,240,"18201 East Meadows Road, FL",0.299826689774697,0.28422876949740006,0.41594454072790293,76.4558058925477,106.065857885615,72.4783362218371,-82.2856138,28.1462138
101,HILL MIDDLE SCHOOL,37,74,402,2,43,312, 5200 Ehrlich Road,0.09390862944162401,0.510152284263959,0.39593908629441604,23.9467005076142,100.964467005076,130.08883248731001,-82.5358862,28.0837218
102,HILLSBOROUGH ACADEMY MATH SCIENCE,53,388,411,2,33,259,9659 W. Waters Avenue,0.36672967863894107,0.388468809073724,0.244801512287335,93.5160680529301,62.42438563327029,99.05954631379959,-82.5967446,28.0301198
103,HILLSBOROUGH HIGH SCHOOL,124,563,774,2,75,319,"5000 Central Avenue, FL",0.33997584541062803,0.467391304347826,0.19263285024154603,86.6938405797101,49.1213768115942,119.184782608696,-82.70144719999999,27.7706633
104,HUNTER’S GREEN ELEMENTARY,49,238,253,0,41,233,9202 Highland Oak Drive  Tampa  33647 ,0.32872928176795596,0.34944751381215505,0.321823204419889,83.8259668508287,82.0649171270718,89.1091160220995,-82.33023999999999,28.1409855
105,INDEPENDENCE ACADEMY ELEMENTARY,12,24,116,3,25,408,"12902 US-92, Dover, FL 33527",0.043795620437956005,0.21167883211678798,0.7445255474452551,11.1678832116788,189.85401459854,53.978102189781,-82.24437270000001,28.0160557
106,INDEPENDENCE ACADEMY MIDDLE SCHOOL,2,6,47,0,18,213,"12902 US-92, Dover, FL 33527",0.022556390977444,0.176691729323308,0.8007518796992479,5.75187969924812,204.19172932330798,45.0563909774436,-82.24437270000001,28.0160557
107,IP POLITO ELEMENTARY,6,247,199,1,39,86,6874 S. Falkenburg Road,0.46428571428571397,0.37406015037594,0.161654135338346,118.392857142857,41.22180451127821,95.3853383458647,-82.355965,27.876695
108,JACKSON ELEMENTARY,3,133,269,0,14,104,502 East Gilchrist  Plant City  33563 ,0.262845849802371,0.531620553359684,0.20553359683794503,67.0256916996047,52.4110671936759,135.563241106719,-82.12003399999999,28.020154
109,JAMES ELEMENTARY,5,536,110,1,15,23,4302 East Ellicott Street  Tampa  33610,0.801195814648729,0.16442451420029902,0.034379671150972,204.30493273542598,8.76681614349776,41.9282511210762,-82.4100139,27.9914854
110,JEFFERSON HIGH SCHOOL,23,496,928,4,88,158,"4401 W Cypress St, Tampa, FL 33607",0.31352718078381797,0.5865992414664979,0.099873577749684,79.94943109987359,25.4677623261694,149.58280657395701,-82.5183352,27.9522801
111,JENNINGS MIDDLE SCHOOL,8,285,245,1,30,147,9325 Governor's Run Drive,0.420974889217134,0.36189069423929104,0.21713441654357502,107.348596750369,55.369276218611496,92.28212703101921,-82.3286002,28.0261867
112,JUST ELEMENTARY,2,242,34,0,10,10,"1315 W Spruce St, Tampa, FL 33607",0.8461538461538459,0.118881118881119,0.034965034965035,215.769230769231,8.91608391608392,30.314685314685303,-82.4737857,27.9598476
113,KENLY ELEMENTARY,5,293,124,0,32,100,"2909 66th Street, FL",0.5667311411992261,0.23984526112185697,0.19342359767891698,144.516441005803,49.323017408123796,61.160541586073506,-82.3806887,27.9698217
114,KIDS COMMUNITY COLLEGE SOUTHEAST,31,111,122,3,31,110,11519 McMullen Road  Riverview  33569,0.323615160349854,0.355685131195335,0.32069970845481,82.5218658892128,81.7784256559767,90.6997084548105,-82.3056191,27.8645448
115,KIMBELL ELEMENTARY,5,372,123,2,15,44,8406 N. 46th Street  Tampa  33617,0.6901669758812621,0.22820037105751398,0.08163265306122501,175.99257884972198,20.816326530612198,58.1910946196661,-82.4101864,28.0262982
116,KING HIGH SCHOOL,290,738,290,11,90,327,6815 North 56th Street  Tampa  33610,0.544649446494465,0.21402214022140198,0.24132841328413301,138.885608856089,61.5387453874539,54.575645756457604,-82.3906286,28.0091855
117,KING’S KIDS ACADEMY,0,121,4,0,2,2,3000 N. 34th Street  Tampa  33605 ,0.9527559055118109,0.031496062992126,0.015748031496063,242.95275590551202,4.01574803149606,8.03149606299213,-82.422703,27.9708403
118,KINGSWOOD ELEMENTARY,11,115,215,0,42,176,3102 South Kings Avenue  Brandon  33511 ,0.22727272727272702,0.42490118577075103,0.34782608695652195,57.954545454545496,88.695652173913,108.349802371542,-82.29612000000002,27.898159
119,KNIGHTS ELEMENTARY,8,28,361,0,42,176,4815 North Keene Road,0.049557522123894,0.638938053097345,0.31150442477876095,12.6371681415929,79.43362831858408,162.929203539823,-82.155569,28.074487
120,LAKE ACADEMY,0,23,9,0,0,9,"9504 E Columbus Dr, Tampa, FL 33619",0.5609756097560981,0.21951219512195103,0.21951219512195103,143.048780487805,55.975609756097604,55.975609756097604,-82.3421733,27.9675953
121,LAKE MAGDALENIE ELEMENTARY ,16,100,354,2,88,340,2002 Pine Lake Drive  Tampa  33612,0.12594458438287198,0.445843828715365,0.4282115869017629,32.1158690176322,109.19395465995001,113.690176322418,-82.47776499999999,28.056925
122,LAMB ELEMENTARY,23,326,243,2,38,85,6274 S. 78th Street  Tampa  33619,0.498470948012232,0.37155963302752293,0.129969418960245,127.11009174311899,33.1422018348624,94.74770642201841,-82.3687107,27.9229795
123,LANIER ELEMENTARY,14,54,88,2,45,157,"4704 Montgomery Avenue, FL",0.18060200668896303,0.29431438127090304,0.525083612040134,46.05351170568561,133.896321070234,75.0501672240803,-82.5228535,27.8769044
124,LAVOY EXCEPTIONAL CENTER,1,30,33,1,3,20,4410 West Main Street  Tampa  33607 ,0.36144578313253,0.3975903614457829,0.240963855421687,92.1686746987952,61.445783132530096,101.385542168675,-82.5192125,27.9574039
125,LEARNING GATE COMMUNITY,19,23,126,1,40,567,7010 N. Manhattan Ave.  Tampa  33614,0.032122905027932996,0.175977653631285,0.791899441340782,8.19134078212291,201.934357541899,44.874301675977705,-82.5173138,28.01238
126,LEE ELEMENTARY TECH / WORLD STUDIES,2,167,47,0,21,54,305 East Columbus Drive  Tampa  33602 ,0.623134328358209,0.175373134328358,0.20149253731343303,158.899253731343,51.38059701492539,44.7201492537313,-82.4574354,27.9665503
127,LEGACY PREPARATORY ACADEMY,1,129,37,0,12,4,302 E. Linebaugh Avenue  Tampa  33612,0.758823529411765,0.217647058823529,0.023529411764706,193.5,6.0,55.5,-82.4576019,28.0403032
128,LENARD HIGH SCHOOL,48,447,1359,9,135,604,2342 Shell Point Rd E,0.185477178423237,0.563900414937759,0.25062240663900404,47.2966804979253,63.9087136929461,143.794605809129,-82.405092,27.72262
129,LETO HIGH SCHOOL,56,166,1670,3,107,242,4409 West Sligh Avenue  Tampa  33614,0.079884504331088,0.803657362848893,0.11645813282001899,20.370548604427302,29.6968238691049,204.932627526468,-82.5191648,28.0121197
130,LEWIS ELEMENTARY,25,348,167,2,61,238,6700 E. Whiteway Drive  Temple Terrace  33617,0.462151394422311,0.221779548472776,0.316069057104914,117.848605577689,80.597609561753,56.5537848605578,-82.3723097,28.0470497
131,LIBERTY MIDDLE SCHOOL,103,297,352,3,66,407,17400 Commerce Park Blvd  Tampa  33647,0.28125,0.33333333333333304,0.3854166666666671,71.71875,98.28125,85.0,-82.3828643,28.1335549
132,LIMONA ELEMENTARY,48,91,170,2,46,237,1115 Telfair  Brandon,0.18273092369477897,0.34136546184739003,0.475903614457831,46.596385542168704,121.355421686747,87.04819277108429,-82.3005206,27.9570638
133,LINCOLN ELEMENTARY MAGNET ,44,150,101,0,22,111,1207 East Renfro Street  Plant City  33563,0.41436464088397795,0.279005524861878,0.306629834254144,105.66298342541401,78.19060773480659,71.146408839779,-82.1133297,28.0129177
134,LITERACY LEADERSHIP TECH ACADEMY,5,67,132,0,21,374,6771 Madison Avenue,0.11692844677137901,0.230366492146597,0.6527050610820239,29.816753926701605,166.439790575916,58.7434554973822,-82.37776,27.89989
135,LITHIA SPRINGS ELEMENTARY,48,16,68,4,41,460,4350 Lithia Pinecrest Rd,0.029411764705882002,0.125,0.845588235294118,7.5,215.625,31.875,-82.22318349999999,27.8760142
136,LOCKHART ELEMENTARY MAGNET,2,289,58,0,11,27,3719 North 17th Street  Tampa  33610 ,0.7727272727272729,0.15508021390374302,0.07219251336898401,197.04545454545502,18.4090909090909,39.545454545454504,-82.438813,27.978743
137,LOMAX ELEMENTARY MAGNET,29,241,46,2,12,31,"4207 26th Street, FL",0.757861635220126,0.144654088050314,0.09748427672955999,193.25471698113202,24.8584905660377,36.88679245283021,-82.429508,27.982624
138,LOPEZ ELEMENTARY,2,83,126,1,33,240,"200 N Kingsway Rd, Seffner, FL 33584",0.184855233853007,0.28062360801781705,0.534521158129176,47.1380846325167,136.30289532293997,71.55902004454342,-82.27894599999999,27.9972333
139,LOPEZ EXCEPTIONAL CENTER,1,14,180,0,0,22,315 W Old Hillsborough Ave,0.064814814814815,0.833333333333333,0.101851851851852,16.5277777777778,25.9722222222222,212.5,-82.2803488,27.9961451
140,LOWRY ELEMENTARY ,112,68,357,1,69,394,11505 Country Hollow Drive,0.083028083028083,0.43589743589743607,0.48107448107448103,21.1721611721612,122.673992673993,111.15384615384599,-82.612796,28.038286
141,LUTZ ELEMENTARY,12,32,161,0,50,397,"202 5th Ave SE, Lutz, FL 33549",0.054237288135593,0.27288135593220303,0.6728813559322029,13.830508474576302,171.584745762712,69.58474576271189,-82.45937099999999,28.147498
142,LUTZ PREPARATTORY SCHOOL,46,17,110,2,54,553,"17952 North Hwy 41, FL",0.025,0.161764705882353,0.813235294117647,6.375,207.375,41.25,-82.4606486,28.1098434
143,MABRY ELEMENTARY,18,17,77,0,46,619,4201 Estrella Street,0.023842917251052,0.10799438990182302,0.8681626928471249,6.079943899018231,221.381486676017,27.5385694249649,-82.51517299999999,27.929373
144,MACFARLANE PARK ELEMENTARY MAGNET,60,54,109,2,17,118,1721 North MacDill Avenue,0.19217081850533801,0.38790035587188604,0.419928825622776,49.0035587188612,107.08185053380801,98.914590747331,-82.4925616,27.9580345
145,MADISON MIDDLE SCHOOL,18,144,291,0,35,145,"4444 Bay Vista Avenue, FL",0.248275862068965,0.501724137931034,0.25,63.3103448275862,63.75,127.93965517241399,-82.5206131,27.9056402
146,MANGO ELEMENTARY,21,178,350,0,42,231,4220 Hwy 579,0.234519104084321,0.46113306982872204,0.304347826086957,59.802371541502,77.6086956521739,117.58893280632401,-82.30352599999999,27.983735
147,MANISCALCO ELEMENTARY,20,51,197,2,37,247, 939 DeBuel Road  Lutz  33549 ,0.10303030303030301,0.39797979797979793,0.498989898989899,26.2727272727273,127.242424242424,101.484848484848,-82.45140359999999,28.1276389
148,MANN MIDDLE SCHOOL,28,208,342,3,58,358,409 East Jersey Avenue  Brandon  33510,0.229074889867841,0.376651982378855,0.3942731277533039,58.4140969162996,100.53964757709299,96.04625550660792,-82.280699,27.950519
149,MARSHALL MIDDLE SCHOOL,5,97,421,0,32,294,18 South Maryland Avenue  Plant City  33563,0.119458128078818,0.5184729064039411,0.36206896551724105,30.461822660098502,92.3275862068966,132.210591133005,-82.10767930000002,28.0165364
150,MARTINEZ MIDDLE SCHOOL,77,37,252,1,58,803,5601 Lutz Lake Fern Road,0.033882783882784,0.23076923076923103,0.7353479853479851,8.640109890109889,187.513736263736,58.846153846153896,-82.55916119999999,28.1588826
151,MCDONALD ELEMENTARY,3,75,185,1,44,299,"501 Pruett Rd, Seffner, FL 33584",0.134168157423971,0.330948121645796,0.5348837209302321,34.2128801431127,136.39534883720899,84.391771019678,-82.2855718,28.0225018
