,NAME,ASIAN,BLACK,HISPANIC,INDIAN,MULTI,WHITE,ADDRESS,BLACKPROP,HISPANICPROP,WHITEPROP,R,G,B,Longitudes,Latitudes
0,ADAMS MIDDLE SCHOOL,12,201,363,1,37,157,"10201 N Boulevard, Tampa, FL 33612",0.27877947295423,0.503467406380028,0.217753120665742,71.08876560332871,55.52704576976421,128.38418862690702,-82.4605024,28.0399566
1,ADVANTAGE ELEMENTARY ACADEMY,2,27,182,0,7,83,350 W Prosser Dr,0.09246575342465801,0.6232876712328771,0.284246575342466,23.578767123287697,72.4828767123288,158.938356164384,-82.12417099999999,28.0014839
2,ADVANTAGE MIDDLE ACADEMY,0,14,81,0,4,43,350 W Prosser Dr,0.101449275362319,0.58695652173913,0.31159420289855105,25.8695652173913,79.4565217391304,149.673913043478,-82.12417099999999,28.0014839
3,ALAFIA ELEMENTARY,22,42,133,3,51,380,"3535 Culbreath Rd, FL",0.075675675675676,0.23963963963964,0.684684684684685,19.297297297297302,174.59459459459498,61.1081081081081,-82.2491764,27.8876226
4,ALEXANDER ELEMENTARY,8,13,550,0,13,29,"5602 N Lois Ave, Tampa, FL 33614",0.021959459459460002,0.9290540540540541,0.048986486486487,5.59966216216216,12.4915540540541,236.908783783784,-82.51430789999999,27.9979993
5,ALONSO HIGH SCHOOL,108,164,1361,12,120,742,"8302 Montague St, FL",0.072342302602559,0.600352889280988,0.327304808116453,18.447287163652398,83.46272606969559,153.089986766652,-82.6042185,28.0221064
6,AMI KIDS YES,0,23,4,0,0,2,4337 Saffold Rd,0.793103448275862,0.137931034482759,0.06896551724137899,202.241379310345,17.5862068965517,35.1724137931034,-82.3217947,27.6541977
7,ANDERSON ELEMENTARY,22,45,89,0,63,181,"3910 W Fair Oaks Ave, Tampa, FL 33611",0.14285714285714302,0.28253968253968204,0.5746031746031751,36.4285714285714,146.52380952381,72.0476190476191,-82.50935199999999,27.899007
8,APOLLO BEACH ELEMENTARY,17,28,138,2,33,460,"501 Apollo Beach Blvd, Apollo Beach, FL 33572",0.044728434504792004,0.22044728434504798,0.73482428115016,11.405750798722,187.380191693291,56.21405750798721,-82.4020757,27.7752372
9,ARMWOOD HIGH SCHOOL,28,764,580,11,111,639,"12000 US-92, Seffner, FL 33584",0.385274836106909,0.292486132123046,0.322239031770045,98.2450832072617,82.17095310136159,74.58396369137671,-82.2953951,28.0056062
10,BAILEY ELEMENTARY,7,43,326,1,28,400,"4630 Gallagher Rd, Dover, FL 33527",0.055916775032510004,0.423927178153446,0.520156046814044,14.25877763329,132.639791937581,108.10143042912901,-82.23780219999999,28.0203574
11,BALLAST POINT ELEMENTARY,15,35,84,0,59,257,"4630 Gallagher Rd, Dover, FL 33527",0.09308510638297901,0.22340425531914898,0.6835106382978721,23.7367021276596,174.295212765957,56.968085106383,-82.23780219999999,28.0203574
12,BAY CREST ELEMENTARY,28,73,419,2,39,174,"4925 Webb Rd, FL",0.10960960960961,0.6291291291291291,0.26126126126126104,27.950450450450397,66.6216216216216,160.427927927928,-82.5742039,27.9925399
13,BELL CREEK ACADEMY,48,98,221,1,62,449,"13221 Boyette Rd, Riverview, FL 33569",0.127604166666667,0.28776041666666696,0.584635416666667,32.5390625,149.08203125,73.37890625,-82.27246799999999,27.852393
14,BELLAMY ELEMENTARY,30,47,513,0,25,77,9720 Wilsky Blvd,0.073783359497645,0.805337519623234,0.12087912087912099,18.8147566718995,30.8241758241758,205.36106750392503,-82.5677539,28.0355855
15,BENITO MIDDLE SCHOOL,105,259,239,3,71,371,"10101 Cross Creek Blvd, Tampa, FL 33647",0.298043728423475,0.27502876869965504,0.42692750287687,76.0011507479862,108.866513233602,70.132336018412,-82.3245506,28.1409782
16,BEVIS ELEMENTARY ,57,24,103,0,54,640,"5720 Osprey Ridge Dr, FL",0.03129074315515001,0.134289439374185,0.834419817470665,7.97913950456323,212.77705345502,34.2438070404172,-82.231504,27.84935
17,BING ELEMENTARY,0,164,279,0,30,106,"6409 36th Ave S, FL",0.298724954462659,0.508196721311475,0.19307832422586502,76.1748633879782,49.23497267759561,129.59016393442602,-82.38214359999999,27.9146551
18,BLAKE HIGH SCHOOL,19,648,402,4,90,424,"1701 North Blvd, Tampa, FL 33607",0.439620081411126,0.272727272727273,0.287652645861601,112.103120759837,73.3514246947083,69.5454545454546,-82.4664809,27.9583216
19,BLOOMMINGDALE HIGH SCHOOL,54,277,573,10,132,1202,1700 E Bloomingdale Ave,0.134990253411306,0.279239766081871,0.5857699805068229,34.422514619882996,149.37134502924,71.2061403508772,-82.2537479,27.8937346
20,BOWERS-WHITLEY CAREER CENTER,0,47,33,1,2,31,"13609 N 22nd St, Tampa, FL 33613",0.42342342342342293,0.297297297297297,0.279279279279279,107.972972972973,71.2162162162162,75.81081081081079,-82.4320169,28.0706761
21,BOYETTE SPRINGS ELEMENTARY,13,75,178,1,56,432,"10141 Sedgebrook Dr, Riverview, FL 33569",0.10948905109489099,0.25985401459854,0.630656934306569,27.9197080291971,160.817518248175,66.26277372262771,-82.27965019999999,27.8479203
22,BRANDON EPIC3 CENTER,0,39,31,0,4,20,"1019 North Parsons Avenue, FL",0.4333333333333329,0.34444444444444394,0.222222222222222,110.5,56.6666666666667,87.8333333333333,-82.2856178,27.9559509
23,BRANDON HIGH SCHOOL,32,412,578,5,126,720,"1101 Victoria Street, FL",0.24093567251462,0.33801169590643304,0.421052631578947,61.438596491228104,107.368421052632,86.1929824561404,-82.2997258,27.9439607
24,BRIDGEPREP ACADEMY OF TAMPA,4,82,106,0,27,61,2418 West Swann Ave Tampa 33609 ,0.329317269076305,0.42570281124497994,0.244979919678715,83.97590361445779,62.4698795180723,108.55421686747,-82.4845782,27.9367992
25,BROOKER ELEMENTARY,40,100,213,0,95,491,812 DeWolf Road  Brandon  33511  ,0.12437810945273599,0.264925373134328,0.6106965174129351,31.716417910447802,155.727611940299,67.5559701492537,-82.27251009999999,27.9162602
26,BROOKS DEBARTOLO COLLEGIATE,22,114,152,0,38,266,10948 N. Central Avenue  Tampa  33612 ,0.214285714285714,0.28571428571428603,0.5,54.6428571428571,127.5,72.8571428571429,-82.4558667,28.0486197
27,BROWARD ELEMENTARY ,2,263,74,1,18,25,"400 West Osborne Avenue, FL",0.7265193370165749,0.204419889502762,0.06906077348066299,185.262430939227,17.6104972375691,52.1270718232044,-82.4642674,27.9882203
28,BRYAN PLANT CITY ELEMENTARY,10,25,655,1,17,77,2006 West Oak Avenue  Plant City  33563 ,0.033025099075297,0.865257595772787,0.10171730515191499,8.42140026420079,25.9379128137384,220.640686922061,-82.143041,28.017593
29,BRYANT ELEMEMTARY,126,20,102,0,62,661, 13910 Nine Eagles Road 33626,0.025542784163473997,0.130268199233716,0.84418901660281,6.513409961685821,215.268199233717,33.218390804597696,-82.63260290000001,28.0724787
30,BT WASHINGTON ELEMENTARY,0,357,143,0,8,16,"1407 Estelle Street, FL",0.691860465116279,0.27713178294573604,0.031007751937985002,176.42441860465098,7.90697674418605,70.6686046511628,-82.4498571,27.9584128
